stimulus_presentation_id,start_time,stop_time,orientation,temporal_frequency,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
3815,1636.6903624006366,1638.6920424006366,0.0,1.0,0,0,1,18,21,0,0,2,0,3,69,36,8,0,0,1,0,32,8,3,62,77,0,15,58,16,3,4,57,19,25,78,37,4,14,0,2,42,18,42,42,6,27,0,0,0,10,15,52,5,9,56,81,0,11,12,2,3,2,28,27,1
3866,1789.8183277485455,1791.8199677485454,0.0,1.0,0,0,0,10,11,1,0,0,0,2,70,37,9,0,1,0,0,56,35,2,57,80,0,9,13,7,13,1,45,16,27,55,20,3,22,0,7,35,15,13,66,8,14,0,1,0,0,24,39,1,3,5,19,0,0,3,0,0,3,9,11,1
3884,1843.8634377485453,1845.8651177485456,0.0,1.0,0,2,1,11,13,0,0,0,0,10,78,35,4,0,0,3,0,65,29,0,38,80,0,4,39,17,4,2,59,19,32,86,19,2,41,0,0,35,17,39,28,5,20,0,1,3,0,58,58,8,5,48,51,0,14,8,1,1,9,42,19,1
3893,1870.8860124006367,1872.8876824006365,0.0,1.0,0,5,0,9,11,0,2,2,0,10,70,41,1,0,0,4,1,66,21,0,43,57,1,8,19,6,2,3,41,7,33,67,20,7,29,0,9,23,9,20,40,5,12,1,1,1,0,11,37,1,2,38,37,0,6,3,0,0,6,21,10,0
3924,1963.9637977485452,1965.9654477485456,0.0,1.0,0,0,2,7,16,2,0,0,0,16,87,22,1,3,0,1,0,67,10,1,50,57,1,7,45,18,5,5,45,9,26,94,35,1,16,2,6,38,18,35,45,10,17,0,0,5,8,90,61,3,8,60,72,3,12,9,0,2,14,56,32,3
3939,2009.0013924006366,2011.0030524006365,0.0,1.0,4,2,0,20,11,0,0,0,0,14,72,29,3,1,0,2,0,63,39,1,56,68,3,7,41,22,2,2,48,13,26,95,35,0,19,1,6,48,28,31,38,2,20,0,0,2,6,32,46,3,8,56,84,0,19,3,0,2,14,42,23,2
3966,2090.0691277485457,2092.0707777485454,0.0,1.0,0,0,1,19,5,4,1,0,0,10,80,38,8,0,0,0,0,49,30,0,54,76,0,7,28,11,6,5,50,9,23,69,21,3,12,0,9,31,6,25,42,1,18,0,3,1,0,32,36,4,1,42,51,0,1,5,0,0,7,23,14,5
31030,3264.049852400636,3266.051512400636,0.0,1.0,1,6,0,15,5,2,1,0,0,5,57,40,9,1,0,1,0,62,25,5,44,52,4,9,9,2,21,16,23,8,22,34,13,31,9,0,4,17,5,0,55,0,16,1,0,1,0,0,2,0,0,0,5,0,14,0,0,0,1,8,3,4
31089,3441.197867748545,3443.1995277485457,0.0,1.0,0,0,1,14,8,0,1,9,0,14,72,52,3,0,1,4,0,51,23,8,50,73,1,12,23,14,5,3,48,10,32,66,34,22,3,2,9,38,37,19,55,2,45,0,2,0,4,40,9,3,4,3,36,1,103,0,0,0,8,33,7,35
31123,3543.283157748545,3545.2847877485456,0.0,1.0,0,4,0,20,18,0,1,5,0,14,82,53,2,1,0,3,0,86,27,1,46,63,2,12,21,22,6,7,51,11,25,88,37,10,17,1,5,36,25,31,31,2,29,0,0,0,0,33,11,3,13,4,36,0,134,1,0,1,12,38,10,36
31155,3639.3634177485455,3641.3650577485455,0.0,1.0,6,2,0,16,5,0,0,0,0,29,57,40,5,1,0,1,0,82,38,4,50,92,6,16,46,23,0,3,50,12,22,53,40,2,2,47,8,31,29,22,62,16,46,0,8,3,2,12,11,2,2,4,39,0,100,2,1,2,6,46,12,13
31187,3735.443657748545,3737.4452877485455,0.0,1.0,0,2,2,15,3,0,0,0,0,31,48,23,1,0,0,0,0,63,23,2,33,43,0,4,14,7,6,5,32,3,11,33,14,57,2,18,8,23,13,9,41,1,30,0,0,1,1,2,8,1,3,2,6,0,43,0,1,3,2,14,0,8
49302,5005.504632400636,5007.506292400636,0.0,1.0,5,1,2,0,1,2,0,0,5,20,15,11,8,5,0,1,0,18,3,4,17,40,5,13,22,10,3,2,28,6,4,67,29,19,2,4,1,16,12,19,0,8,30,0,1,4,0,5,17,1,1,5,38,0,137,0,0,3,3,33,2,10
49396,5287.740402400636,5289.742062400636,0.0,1.0,15,3,0,8,15,1,0,4,0,20,13,11,4,4,0,1,0,28,6,2,30,34,2,17,23,11,1,1,33,8,6,63,24,20,5,8,3,18,15,28,0,6,29,1,4,1,6,15,18,3,0,9,41,0,137,1,0,3,18,61,3,3
49429,5386.823177748545,5388.8248277485445,0.0,1.0,0,6,2,1,2,1,0,0,0,32,43,23,6,0,0,0,0,48,7,0,33,55,4,10,12,4,12,7,23,7,6,40,15,47,0,23,4,16,5,6,25,1,20,0,0,4,0,1,6,0,1,2,4,0,47,0,3,2,9,29,2,13
3801,1594.6552524006365,1596.6569124006367,0.0,2.0,4,2,0,11,10,5,0,10,0,3,66,47,5,0,0,1,0,45,12,1,58,91,0,13,58,3,0,0,56,18,38,59,23,3,12,0,11,32,0,25,41,1,68,0,0,1,0,7,39,1,4,54,43,0,4,5,0,2,4,16,5,2
3855,1756.7906924006365,1758.7923724006366,0.0,2.0,0,1,0,11,12,0,0,1,0,15,70,47,6,1,0,2,0,60,33,3,51,88,1,7,44,9,2,3,57,12,28,69,26,3,22,0,7,27,19,31,28,4,36,0,0,4,0,9,39,11,6,62,59,2,7,4,0,1,1,37,10,1
3860,1771.8032477485456,1773.8049277485454,0.0,2.0,0,0,1,7,15,0,2,1,0,13,72,38,9,0,0,1,0,60,22,0,53,90,0,11,13,5,6,3,51,10,32,61,24,3,11,1,7,30,12,18,58,2,40,0,1,2,0,9,28,5,5,26,36,1,4,6,0,1,2,15,5,3
3890,1861.8784877485452,1863.8801677485453,0.0,2.0,0,2,0,20,6,0,1,0,0,20,71,32,3,0,0,0,0,68,7,1,56,70,0,7,16,2,5,3,49,6,29,52,14,3,17,0,9,29,11,14,55,2,28,0,0,0,0,0,27,5,1,14,13,0,4,1,0,1,3,4,5,1
3937,2002.9963624006366,2004.9980524006367,0.0,2.0,2,1,2,17,5,0,1,0,0,21,82,39,3,0,0,1,0,61,49,0,55,88,0,15,12,11,14,10,41,1,29,53,16,8,22,1,17,30,21,11,38,4,44,0,3,0,0,2,31,3,0,7,22,0,1,0,0,0,1,12,8,0
31007,3194.992197748545,3196.9938677485457,0.0,2.0,0,1,0,30,10,0,1,3,0,23,71,51,5,0,0,1,0,75,35,3,60,85,3,17,25,16,11,9,46,5,30,64,26,4,0,1,13,30,43,9,16,2,78,0,7,7,0,18,48,1,1,0,9,0,28,0,0,1,0,10,5,7
31019,3231.0222577485456,3233.0239477485457,0.0,2.0,1,6,0,12,4,0,0,1,0,12,57,40,12,0,0,0,0,56,30,3,39,80,7,7,10,4,16,17,24,3,41,41,29,21,3,25,11,21,3,2,45,0,44,4,2,4,0,4,6,0,0,0,4,0,13,0,0,0,1,4,1,27
31059,3351.1225777485456,3353.1242677485457,0.0,2.0,2,0,1,12,4,0,0,2,0,11,35,26,0,3,0,1,0,55,17,6,31,49,2,8,19,6,10,2,23,7,14,36,14,13,2,15,7,14,19,15,6,2,54,0,2,4,0,2,7,0,0,3,14,0,45,0,0,0,0,21,4,10
31091,3447.202887748545,3449.204507748545,0.0,2.0,0,1,0,20,3,0,1,1,0,5,67,62,8,1,3,0,0,68,38,3,53,87,1,13,18,4,8,3,38,10,21,48,29,19,0,2,12,28,22,8,67,1,70,4,0,10,0,3,6,1,1,2,8,0,57,0,1,1,4,15,1,20
31197,3765.4687677485454,3767.4703877485454,0.0,2.0,0,0,0,14,4,0,0,0,0,29,59,60,1,0,0,1,0,70,44,4,56,82,3,13,12,11,15,12,47,5,28,56,26,34,1,27,14,31,33,7,45,3,53,1,4,2,0,0,3,7,3,1,8,0,48,0,0,1,2,10,4,43
